"Dato"
"0.13575"
"0.15486"
"0.19417"
"0.17799"
"0.15918"
"0.13997"
"0.13909"
"0.12581"
"0.13885"
"0.11374"
"0.11548"
"0.13416"
"0.1857"
"0.16031"
"0.12278"
"0.12597"
"0.10659"
