"Riqueza_promedio_por_adulto_por_país(USD)"
"696604"
"657564"
"579051"
"552930"
"550110"
"472153"
"467795"
"426494"
"409297"
"400828"
"381968"
"381114"
"358204"
"334432"
"322074"
"309375"
"297864"
"273417"
"256985"
"251337"
"250125"
"245238"
"237644"
"231323"
"222888"
"188106"
"186208"
"171348"
"162581"
"154377"
"149824"
"122841"
"108300"
"107476"
"98031"
"87270"
"84407"
"82240"
"77360"
"76639"
"75759"
"75734"
"70807"
"70668"
"68272"
"65031"
"63508"
"63493"
"60263"
"57726"
"57619"
"57419"
"54639"
"52618"
"52221"
"50426"
"49935"
"49567"
"48138"
"45677"
"44014"
"43631"
"42559"
"42351"
"40962"
"39093"
"38523"
"35529"
"35307"
"34005"
"33122"
