"Class","Class_value","Frequency","Relative_frequency","Cumulative_relative_frequency"
"33122.0 - 127905.14285714286","80513.57143","40","0.57143","0.57143"
"127905.14285714286 - 222688.2857142857","175296.71429","6","0.08571","0.65714"
"222688.2857142857 - 317471.4285714286","270079.85714","10","0.14286","0.8"
"317471.4285714286 - 412254.5714285714","364863","7","0.1","0.9"
"412254.5714285714 - 507037.71428571426","459646.14286","3","0.04286","0.94286"
"507037.71428571426 - 601820.8571428572","554429.28571","3","0.04286","0.98571"
"601820.8571428572 - 696604.0","649212.42857","1","0.01429","1"
